policy,policy_class,budget,scope,random_seed,denominator,detected,detection_rate,survivors,median_first_witness_rank,mean_first_witness_rank,project_macro_detection,function_macro_detection,attempts,compile_ready,prompt_families,median_detection,p2_5_detection,p97_5_detection
source_literal_char_interleave,deterministic,1,primary_fixture_passing_wrong,,2,0,0.0,2,,,0.0,0.0,168,168,"{""P1"": 1, ""P2"": 1}",,,
source_literal_char_interleave,deterministic,1,low_density_fixture_passing_wrong,,2,0,0.0,2,,,0.0,0.0,168,168,"{""P1"": 1, ""P2"": 1}",,,
source_literal_char_interleave,deterministic,2,primary_fixture_passing_wrong,,2,0,0.0,2,,,0.0,0.0,168,168,"{""P1"": 1, ""P2"": 1}",,,
source_literal_char_interleave,deterministic,2,low_density_fixture_passing_wrong,,2,0,0.0,2,,,0.0,0.0,168,168,"{""P1"": 1, ""P2"": 1}",,,
source_literal_char_interleave,deterministic,4,primary_fixture_passing_wrong,,2,0,0.0,2,,,0.0,0.0,168,168,"{""P1"": 1, ""P2"": 1}",,,
source_literal_char_interleave,deterministic,4,low_density_fixture_passing_wrong,,2,0,0.0,2,,,0.0,0.0,168,168,"{""P1"": 1, ""P2"": 1}",,,
source_literal_char_interleave,deterministic,8,primary_fixture_passing_wrong,,2,0,0.0,2,,,0.0,0.0,168,168,"{""P1"": 1, ""P2"": 1}",,,
source_literal_char_interleave,deterministic,8,low_density_fixture_passing_wrong,,2,0,0.0,2,,,0.0,0.0,168,168,"{""P1"": 1, ""P2"": 1}",,,
source_literal_char_interleave,deterministic,16,primary_fixture_passing_wrong,,2,0,0.0,2,,,0.0,0.0,168,168,"{""P1"": 1, ""P2"": 1}",,,
source_literal_char_interleave,deterministic,16,low_density_fixture_passing_wrong,,2,0,0.0,2,,,0.0,0.0,168,168,"{""P1"": 1, ""P2"": 1}",,,
source_literal_char_interleave,deterministic,32,primary_fixture_passing_wrong,,2,0,0.0,2,,,0.0,0.0,168,168,"{""P1"": 1, ""P2"": 1}",,,
source_literal_char_interleave,deterministic,32,low_density_fixture_passing_wrong,,2,0,0.0,2,,,0.0,0.0,168,168,"{""P1"": 1, ""P2"": 1}",,,
literal_first_concatenation,deterministic,1,primary_fixture_passing_wrong,,2,0,0.0,2,,,0.0,0.0,168,168,"{""P1"": 1, ""P2"": 1}",,,
literal_first_concatenation,deterministic,1,low_density_fixture_passing_wrong,,2,0,0.0,2,,,0.0,0.0,168,168,"{""P1"": 1, ""P2"": 1}",,,
literal_first_concatenation,deterministic,2,primary_fixture_passing_wrong,,2,0,0.0,2,,,0.0,0.0,168,168,"{""P1"": 1, ""P2"": 1}",,,
literal_first_concatenation,deterministic,2,low_density_fixture_passing_wrong,,2,0,0.0,2,,,0.0,0.0,168,168,"{""P1"": 1, ""P2"": 1}",,,
literal_first_concatenation,deterministic,4,primary_fixture_passing_wrong,,2,0,0.0,2,,,0.0,0.0,168,168,"{""P1"": 1, ""P2"": 1}",,,
literal_first_concatenation,deterministic,4,low_density_fixture_passing_wrong,,2,0,0.0,2,,,0.0,0.0,168,168,"{""P1"": 1, ""P2"": 1}",,,
literal_first_concatenation,deterministic,8,primary_fixture_passing_wrong,,2,0,0.0,2,,,0.0,0.0,168,168,"{""P1"": 1, ""P2"": 1}",,,
literal_first_concatenation,deterministic,8,low_density_fixture_passing_wrong,,2,0,0.0,2,,,0.0,0.0,168,168,"{""P1"": 1, ""P2"": 1}",,,
literal_first_concatenation,deterministic,16,primary_fixture_passing_wrong,,2,0,0.0,2,,,0.0,0.0,168,168,"{""P1"": 1, ""P2"": 1}",,,
literal_first_concatenation,deterministic,16,low_density_fixture_passing_wrong,,2,0,0.0,2,,,0.0,0.0,168,168,"{""P1"": 1, ""P2"": 1}",,,
literal_first_concatenation,deterministic,32,primary_fixture_passing_wrong,,2,0,0.0,2,,,0.0,0.0,168,168,"{""P1"": 1, ""P2"": 1}",,,
literal_first_concatenation,deterministic,32,low_density_fixture_passing_wrong,,2,0,0.0,2,,,0.0,0.0,168,168,"{""P1"": 1, ""P2"": 1}",,,
fixture_neighbor_only,deterministic,1,primary_fixture_passing_wrong,,2,0,0.0,2,,,0.0,0.0,168,168,"{""P1"": 1, ""P2"": 1}",,,
fixture_neighbor_only,deterministic,1,low_density_fixture_passing_wrong,,2,0,0.0,2,,,0.0,0.0,168,168,"{""P1"": 1, ""P2"": 1}",,,
fixture_neighbor_only,deterministic,2,primary_fixture_passing_wrong,,2,0,0.0,2,,,0.0,0.0,168,168,"{""P1"": 1, ""P2"": 1}",,,
fixture_neighbor_only,deterministic,2,low_density_fixture_passing_wrong,,2,0,0.0,2,,,0.0,0.0,168,168,"{""P1"": 1, ""P2"": 1}",,,
fixture_neighbor_only,deterministic,4,primary_fixture_passing_wrong,,2,0,0.0,2,,,0.0,0.0,168,168,"{""P1"": 1, ""P2"": 1}",,,
fixture_neighbor_only,deterministic,4,low_density_fixture_passing_wrong,,2,0,0.0,2,,,0.0,0.0,168,168,"{""P1"": 1, ""P2"": 1}",,,
fixture_neighbor_only,deterministic,8,primary_fixture_passing_wrong,,2,0,0.0,2,,,0.0,0.0,168,168,"{""P1"": 1, ""P2"": 1}",,,
fixture_neighbor_only,deterministic,8,low_density_fixture_passing_wrong,,2,0,0.0,2,,,0.0,0.0,168,168,"{""P1"": 1, ""P2"": 1}",,,
fixture_neighbor_only,deterministic,16,primary_fixture_passing_wrong,,2,0,0.0,2,,,0.0,0.0,168,168,"{""P1"": 1, ""P2"": 1}",,,
fixture_neighbor_only,deterministic,16,low_density_fixture_passing_wrong,,2,0,0.0,2,,,0.0,0.0,168,168,"{""P1"": 1, ""P2"": 1}",,,
fixture_neighbor_only,deterministic,32,primary_fixture_passing_wrong,,2,0,0.0,2,,,0.0,0.0,168,168,"{""P1"": 1, ""P2"": 1}",,,
fixture_neighbor_only,deterministic,32,low_density_fixture_passing_wrong,,2,0,0.0,2,,,0.0,0.0,168,168,"{""P1"": 1, ""P2"": 1}",,,
source_literal_only,deterministic,1,primary_fixture_passing_wrong,,2,0,0.0,2,,,0.0,0.0,168,168,"{""P1"": 1, ""P2"": 1}",,,
source_literal_only,deterministic,1,low_density_fixture_passing_wrong,,2,0,0.0,2,,,0.0,0.0,168,168,"{""P1"": 1, ""P2"": 1}",,,
source_literal_only,deterministic,2,primary_fixture_passing_wrong,,2,0,0.0,2,,,0.0,0.0,168,168,"{""P1"": 1, ""P2"": 1}",,,
source_literal_only,deterministic,2,low_density_fixture_passing_wrong,,2,0,0.0,2,,,0.0,0.0,168,168,"{""P1"": 1, ""P2"": 1}",,,
source_literal_only,deterministic,4,primary_fixture_passing_wrong,,2,0,0.0,2,,,0.0,0.0,168,168,"{""P1"": 1, ""P2"": 1}",,,
source_literal_only,deterministic,4,low_density_fixture_passing_wrong,,2,0,0.0,2,,,0.0,0.0,168,168,"{""P1"": 1, ""P2"": 1}",,,
source_literal_only,deterministic,8,primary_fixture_passing_wrong,,2,0,0.0,2,,,0.0,0.0,168,168,"{""P1"": 1, ""P2"": 1}",,,
source_literal_only,deterministic,8,low_density_fixture_passing_wrong,,2,0,0.0,2,,,0.0,0.0,168,168,"{""P1"": 1, ""P2"": 1}",,,
source_literal_only,deterministic,16,primary_fixture_passing_wrong,,2,0,0.0,2,,,0.0,0.0,168,168,"{""P1"": 1, ""P2"": 1}",,,
source_literal_only,deterministic,16,low_density_fixture_passing_wrong,,2,0,0.0,2,,,0.0,0.0,168,168,"{""P1"": 1, ""P2"": 1}",,,
source_literal_only,deterministic,32,primary_fixture_passing_wrong,,2,0,0.0,2,,,0.0,0.0,168,168,"{""P1"": 1, ""P2"": 1}",,,
source_literal_only,deterministic,32,low_density_fixture_passing_wrong,,2,0,0.0,2,,,0.0,0.0,168,168,"{""P1"": 1, ""P2"": 1}",,,
generic_type_boundaries,deterministic,1,primary_fixture_passing_wrong,,2,0,0.0,2,,,0.0,0.0,168,168,"{""P1"": 1, ""P2"": 1}",,,
generic_type_boundaries,deterministic,1,low_density_fixture_passing_wrong,,2,0,0.0,2,,,0.0,0.0,168,168,"{""P1"": 1, ""P2"": 1}",,,
generic_type_boundaries,deterministic,2,primary_fixture_passing_wrong,,2,0,0.0,2,,,0.0,0.0,168,168,"{""P1"": 1, ""P2"": 1}",,,
generic_type_boundaries,deterministic,2,low_density_fixture_passing_wrong,,2,0,0.0,2,,,0.0,0.0,168,168,"{""P1"": 1, ""P2"": 1}",,,
generic_type_boundaries,deterministic,4,primary_fixture_passing_wrong,,2,0,0.0,2,,,0.0,0.0,168,168,"{""P1"": 1, ""P2"": 1}",,,
generic_type_boundaries,deterministic,4,low_density_fixture_passing_wrong,,2,0,0.0,2,,,0.0,0.0,168,168,"{""P1"": 1, ""P2"": 1}",,,
generic_type_boundaries,deterministic,8,primary_fixture_passing_wrong,,2,0,0.0,2,,,0.0,0.0,168,168,"{""P1"": 1, ""P2"": 1}",,,
generic_type_boundaries,deterministic,8,low_density_fixture_passing_wrong,,2,0,0.0,2,,,0.0,0.0,168,168,"{""P1"": 1, ""P2"": 1}",,,
generic_type_boundaries,deterministic,16,primary_fixture_passing_wrong,,2,0,0.0,2,,,0.0,0.0,168,168,"{""P1"": 1, ""P2"": 1}",,,
generic_type_boundaries,deterministic,16,low_density_fixture_passing_wrong,,2,0,0.0,2,,,0.0,0.0,168,168,"{""P1"": 1, ""P2"": 1}",,,
generic_type_boundaries,deterministic,32,primary_fixture_passing_wrong,,2,0,0.0,2,,,0.0,0.0,168,168,"{""P1"": 1, ""P2"": 1}",,,
generic_type_boundaries,deterministic,32,low_density_fixture_passing_wrong,,2,0,0.0,2,,,0.0,0.0,168,168,"{""P1"": 1, ""P2"": 1}",,,
uniform_random_domain,stochastic,1,primary_fixture_passing_wrong,30_fixed_seeds,2,0.0,0.0,2,,,0.0,0.0,168,168,"{""P1"": 1, ""P2"": 1}",0.0,0.0,0.0
uniform_random_domain,stochastic,1,low_density_fixture_passing_wrong,30_fixed_seeds,2,0.0,0.0,2,,,0.0,0.0,168,168,"{""P1"": 1, ""P2"": 1}",0.0,0.0,0.0
